Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Wang Z., Guo Q., Sun S., Xia C.",57203180951;55931730000;8379887100;16205447200;,The impact of awareness diffusion on SIR-like epidemics in multiplex networks,2019,Applied Mathematics and Computation,41,10.1016/j.amc.2018.12.045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059383400&doi=10.1016%2fj.amc.2018.12.045&partnerID=40&md5=583bec99180d64fad626cf5f999846af,Article,Final,0,Scopus,2-s2.0-85059383400
"Xia C., Wang Z., Zheng C., Guo Q., Shi Y., Dehmer M., Chen Z.",16205447200;57203180951;57200522153;55931730000;10239677400;13404645900;55558571000;,A new coupled disease-awareness spreading model with mass media on multiplex networks,2019,Information Sciences,49,10.1016/j.ins.2018.08.050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052953035&doi=10.1016%2fj.ins.2018.08.050&partnerID=40&md5=2b5889260c1d191b133eaabcd37e9fab,Article,Final,0,Scopus,2-s2.0-85052953035
"Zhu X., Wang W., Cai S., Stanley H.E.",55976007000;56948517000;12759993600;35375959000;,Dynamics of social contagions with local trend imitation,2018,Scientific Reports,8,10.1038/s41598-018-25006-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046888500&doi=10.1038%2fs41598-018-25006-6&partnerID=40&md5=cf21529223ff945e905e80442c33d15a,Article,Final,1,Scopus,2-s2.0-85046888500
"Zhu X., Wang W., Cai S., Stanley H.E.",55976007000;56948517000;12759993600;35375959000;,Optimal imitation capacity and crossover phenomenon in the dynamics of social contagions,2018,Journal of Statistical Mechanics: Theory and Experiment,5,10.1088/1742-5468/aac914,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049687958&doi=10.1088%2f1742-5468%2faac914&partnerID=40&md5=d7b1dacb2e8f0dcfe3b4a8175e916f46,Article,Final,0,Scopus,2-s2.0-85049687958
"Zhu X., Tian H., Chen X., Wang W., Cai S.",55976007000;7202161757;56512623800;56948517000;12759993600;,Heterogeneous behavioral adoption in multiplex networks,2018,New Journal of Physics,14,10.1088/1367-2630/aaf25d,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059893299&doi=10.1088%2f1367-2630%2faaf25d&partnerID=40&md5=e021eb1f10fc7cca1460312a85ef19cf,Article,Final,1,Scopus,2-s2.0-85059893299
"Khater S., Gracanin D., Elmongui H.G.",56028263200;7003992400;8843410900;,Personalized Recommendation for Online Social Networks Information: Personal Preferences and Location-Based Community Trends,2017,IEEE Transactions on Computational Social Systems,14,10.1109/TCSS.2017.2720632,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028908881&doi=10.1109%2fTCSS.2017.2720632&partnerID=40&md5=3a927c5d5536f1de622206b3bae143b4,Article,Final,0,Scopus,2-s2.0-85028908881
"Davis D., Figueroa G., Chen Y.-S.",57195477166;55626619600;7601428784;,SociRank: Identifying and Ranking Prevalent News Topics Using Social Media Factors,2017,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",13,10.1109/TSMC.2016.2523932,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028300355&doi=10.1109%2fTSMC.2016.2523932&partnerID=40&md5=6939b8e723e67baf5bb19cb75cfb051a,Article,Final,0,Scopus,2-s2.0-85028300355
"Parsegov S.E., Proskurnikov A.V., Tempo R., Friedkin N.E.",55510525300;6602276830;57218889376;6603408286;,Novel Multidimensional Models of Opinion Dynamics in Social Networks,2017,IEEE Transactions on Automatic Control,93,10.1109/TAC.2016.2613905,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019240797&doi=10.1109%2fTAC.2016.2613905&partnerID=40&md5=c9c4e0f6debf111454bd91ab8ae52d5c,Article,Final,0,Scopus,2-s2.0-85019240797
"Jiang D., Luo X., Xuan J., Xu Z.",57189025364;23479777500;54883441500;57113801300;,Sentiment computing for the news event based on the social media big data,2017,IEEE Access,28,10.1109/ACCESS.2016.2607218,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017613151&doi=10.1109%2fACCESS.2016.2607218&partnerID=40&md5=4b6e89c83691b25f3f9a7ae6c4e81453,Article,Final,1,Scopus,2-s2.0-85017613151
"Yu S., Liu M., Dou W., Liu X., Zhou S.",55741361200;55614877500;7006874536;57192260017;7404165804;,Networking for Big Data: A Survey,2017,IEEE Communications Surveys and Tutorials,105,10.1109/COMST.2016.2610963,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014086530&doi=10.1109%2fCOMST.2016.2610963&partnerID=40&md5=e4b77211be02c667645437e8e3feab46,Review,Final,0,Scopus,2-s2.0-85014086530
"Proskurnikov A.V., Matveev A.S., Cao M.",6602276830;7102723073;57199509213;,Opinion Dynamics in Social Networks with Hostile Camps: Consensus vs. Polarization,2016,IEEE Transactions on Automatic Control,139,10.1109/TAC.2015.2471655,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973124561&doi=10.1109%2fTAC.2015.2471655&partnerID=40&md5=10de940d67466df4477554d6807b0b92,Article,Final,0,Scopus,2-s2.0-84973124561
"Jiang W., Wu J., Wang G., Zheng H.",55264103000;55837752300;56039387600;55841046700;,Forming Opinions via Trusted Friends: Time-Evolving Rating Prediction Using Fluid Dynamics,2016,IEEE Transactions on Computers,37,10.1109/TC.2015.2444842,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963778744&doi=10.1109%2fTC.2015.2444842&partnerID=40&md5=1a84357174f48568f9ab5f9dd0173fac,Article,Final,0,Scopus,2-s2.0-84963778744
