Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Morrison A.,,Relating Porter's Configuration/Coordination Framework to Competitive Strategy and Structural Mechanisms: Analysis and Implications,1993,Journal of Management,35,10.1177/014920639301900404,United States,Article,Phoenix,0,Journal,2-s2.0-38248999427
Bergh D.D.,,Watch the Time Carefully: The Use and Misuse of Time Effects in Management Research,1993,Journal of Management,52,10.1177/014920639301900310,United States,Article,University Park,0,Journal,2-s2.0-0000060520
Miles G.,,Industry variety and performance,1993,Strategic Management Journal,97,10.1002/smj.4250140302,United States,Article,University Park,0,Journal,2-s2.0-84989054519
Dess G.G.,,Configuration Research in Strategic Management: Key Issues and Suggestions,1993,Journal of Management,141,10.1177/014920639301900403,United States,Article,Arlington,0,Journal,2-s2.0-0000671458
Cool K.,,"Rivalry, strategic groups and firm profitability",1993,Strategic Management Journal,175,10.1002/smj.4250140106,France,Article,Fontainebleau,0,Journal,2-s2.0-0347670441
Kim W.,,Multinationals' diversification and the risk‐return trade‐off,1993,Strategic Management Journal,317,10.1002/smj.4250140404,France,Article,Fontainebleau,0,Journal,2-s2.0-84989152170
Hoskisson R.,,Construct validity of an objective (entropy) categorical measure of diversification strategy,1993,Strategic Management Journal,368,10.1002/smj.4250140305,United States,Article,College Station,0,Journal,2-s2.0-84989036165
Zahra S.,,"Business strategy, technology policy and firm performance",1993,Strategic Management Journal,452,10.1002/smj.4250140605,United States,Article,Atlanta,0,Journal,2-s2.0-84989052440
Reger R.K.,,Strategic groups: A cognitive perspective,1993,Strategic Management Journal,475,10.1002/smj.4250140203,United States,Article,Tempe,0,Journal,2-s2.0-84989040395
Thomas J.B.,,"Strategic sensemaking and organizational performance: linkages among scanning, interpretation, action, and outcomes.",1993,Academy of Management journal. Academy of Management,776,10.2307/256522,United States,Review,University Park,0,Journal,2-s2.0-0027580893
Rajagopalan N.,,Effects of strategic orientation and environmental change on senior management reward systems,1992,Strategic Management Journal,113,10.1002/smj.4250131010,United States,Article,Los Angeles,0,Journal,2-s2.0-0000070935
Morrison A.,,A taxonomy of business‐level strategies in global industries,1992,Strategic Management Journal,168,10.1002/smj.4250130602,Canada,Article,London,0,Journal,2-s2.0-84989045676
Macmillan I.,,The emerging forum for business policy scholars,1991,Strategic Management Journal,58,10.1002/smj.4250120207,United States,Article,Philadelphia,0,Journal,2-s2.0-84989103789
Meyer A.,,What Is Strategy's Distinctive Competence?,1991,Journal of Management,97,10.1177/014920639101700413,United States,Article,Eugene,0,Journal,2-s2.0-84965779608
Nohria N.,,Global strategic linkages and industry structure,1991,Strategic Management Journal,381,10.1002/smj.4250120909,United States,Article,Cambridge,0,Journal,2-s2.0-84989133300
Hitt M.,,Strategic decision models: Integrating different perspectives,1991,Strategic Management Journal,547,10.1002/smj.4250120502,United States,Article,College Station,0,Journal,2-s2.0-84989064880
Summer C.E.,,Doctoral Education in the Field of Business Policy and Strategy,1990,Journal of Management,86,10.1177/014920639001600207,United States,Article,Seattle,0,Journal,2-s2.0-84970520986
Walter G.,,Research notes and communications management objectives in mergers and acquisitions,1990,Strategic Management Journal,118,10.1002/smj.4250110107,Canada,Article,Vancouver,0,Journal,2-s2.0-84989052496
Lewis P.,,"The linkage between strategy, strategic groups, and performance in the U.K. retail grocery industry",1990,Strategic Management Journal,123,10.1002/smj.4250110505,New Zealand,Article,Auckland,0,Journal,2-s2.0-84989051499
McDougall P.,,New venture strategies: An empirical identification of eight ‘archetypes’ of competitive strategies for entry,1990,Strategic Management Journal,146,10.1002/smj.4250110604,United States,Article,Atlanta,0,Journal,2-s2.0-84989078382
Fiegenbaum A.,,"Strategic groups and performance: The U.S. insurance industry, 1970–84",1990,Strategic Management Journal,230,10.1002/smj.4250110303,United States,Article,Ann Arbor,0,Journal,2-s2.0-84989063360
Barney J.,,Strategic groups: Untested assertions and research proposals,1990,Managerial and Decision Economics,251,10.1002/mde.4090110306,United States,Article,College Station,0,Journal,2-s2.0-84986782781
Birley S.,,Growth and performance contrasts between ‘types’ of small firms,1990,Strategic Management Journal,266,10.1002/smj.4250110705,United Kingdom,Article,London,0,Journal,2-s2.0-84989046107
Venkatraman N.,,Environment‐strategy coalignment: An empirical test of its performance implications,1990,Strategic Management Journal,636,10.1002/smj.4250110102,United States,Article,Cambridge,0,Journal,2-s2.0-84989078601
Waddock S.,,"Strategy, Beliefs about the Environment, and Performance in a Banking Simulation",1989,Journal of Management,14,10.1177/014920638901500410,United States,Article,Chestnut Hill,0,Journal,2-s2.0-84970235834
Lawless M.W.,,Performance Variations Among Strategic Group Members: An Examination of Individual Firm Capability,1989,Journal of Management,75,10.1177/014920638901500412,United States,Article,Boulder,0,Journal,2-s2.0-84970096336
Montgomery C.A.,,Strategy content and the research process: A critique and commentary,1989,Strategic Management Journal,77,10.1002/smj.4250100208,United States,Article,Evanston,0,Journal,2-s2.0-84989132633
Mascarenhas B.,,Strategy over the business cycle,1989,Strategic Management Journal,81,10.1002/smj.4250100302,United States,Article,New York,0,Journal,2-s2.0-84989052328
Lafuente A.,,Types of entrepreneurs and firms: The case of new Spanish firms,1989,Strategic Management Journal,85,10.1002/smj.4250100103,Spain,Article,Zaragoza,0,Journal,2-s2.0-84989029983
Mascarenhas B.,,Mobility barriers and strategic groups,1989,Strategic Management Journal,122,10.1002/smj.4250100506,United States,Article,New York,0,Journal,2-s2.0-84989040632
Lawless M.W.,,Choice and determinism: A test of Hrebiniak and Joyce's framework on strategy‐environment fit,1989,Strategic Management Journal,122,10.1002/smj.4250100405,United States,Article,Boulder,0,Journal,2-s2.0-84989029921
Miller A.,,"A taxonomy of technological settings, with related strategies and performance levels",1988,Strategic Management Journal,86,10.1002/smj.4250090304,United States,Article,Knoxville,0,Journal,2-s2.0-84989023433
Thomas H.,,RESEARCH ON STRATEGIC GROUPS: PROGRESS AND PROGNOSIS<sup>1</sup>,1988,Journal of Management Studies,202,10.1111/j.1467-6486.1988.tb00046.x,United States,Article,Urbana,0,Journal,2-s2.0-84980230912
Cool K.,,Performance differences among strategic group members,1988,Strategic Management Journal,296,10.1002/smj.4250090302,France,Article,Fontainebleau,0,Journal,2-s2.0-84989135189
Robinson R.,,Planned patterns of strategic behavior and their relationship to business‐unit performance,1988,Strategic Management Journal,340,10.1002/smj.4250090105,United States,Article,Columbia,0,Journal,2-s2.0-84989133031
Smith K.,,"Environmental variation, strategic change and firm performance: A study of railroad deregulation",1987,Strategic Management Journal,183,10.1002/smj.4250080406,United States,Article,College Park,0,Journal,2-s2.0-84989056583
Hatten K.,,"Strategic groups, asymmetrical mobility barriers and contestability",1987,Strategic Management Journal,215,10.1002/smj.4250080404,United States,Article,Boston,0,Journal,2-s2.0-84989038889
FORD J.,,THE APPLICATION OF EXPLORATORY FACTOR ANALYSIS IN APPLIED PSYCHOLOGY: A CRITICAL REVIEW AND ANALYSIS,1986,Personnel Psychology,941,10.1111/j.1744-6570.1986.tb00583.x,United States,Article,East Lansing,0,Journal,2-s2.0-85021394779
Milligan G.,,An examination of procedures for determining the number of clusters in a data set,1985,Psychometrika,2262,10.1007/BF02294245,United States,Article,Columbus,0,Journal,2-s2.0-34250115918
Harrigan K.,,An application of clustering for strategic group analysis,1985,Strategic Management Journal,213,10.1002/smj.4250060105,United States,Article,New York,0,Journal,2-s2.0-84989114089
Hawes J.,,A taxonomy of competitive retailing strategies,1984,Strategic Management Journal,128,10.1002/smj.4250050307,United States,Article,Akron,0,Journal,2-s2.0-84989052094
Galbraith C.,,An empirical analysis of strategy types,1983,Strategic Management Journal,259,10.1002/smj.4250040206,United States,Article,Irvine,0,Journal,2-s2.0-84989092286
Dutton J.E.,,Toward understanding strategic issue diagnosis,1983,Strategic Management Journal,269,10.1002/smj.4250040403,United States,Article,New York,0,Journal,2-s2.0-84989078268
