Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Yale J.,,Transcript Expression in Saccharomyces cerevisiae at High Salinity,2001,Journal of Biological Chemistry,166,10.1074/jbc.M008209200,,Article,,1,Journal,2-s2.0-0035844224
Hamer L.,,Gene discovery and gene function assignment in filamentous fungi,2001,Proceedings of the National Academy of Sciences of the United States of America,89,10.1073/pnas.091094198,United States,Article,Newtown,1,Journal,2-s2.0-0035942235
Ni L.,,A genomic study of the bipolar bud site selection pattern in Saccharomyces cerevisiae,2001,Molecular Biology of the Cell,225,10.1091/mbc.12.7.2147,United States,Article,New Haven,0,Journal,2-s2.0-0035162931
Causton H.,,Remodeling of yeast genome expression in response to environmental changes,2001,Molecular Biology of the Cell,998,10.1091/mbc.12.2.323,United States,Article,Cambridge,0,Journal,2-s2.0-0035149551
Piano F.,,RNAi analysis of genes expressed in the ovary of Caenorhabditis elegans,2000,Current Biology,176,10.1016/S0960-9822(00)00869-1,United States,Article,Ithaca,1,Journal,2-s2.0-0034649570
Fraser A.,,Functional genomic analysis of C. elegans chromosome I by systematic RNA interference,2000,Nature,1285,10.1038/35042517,United Kingdom,Article,Cambridge,0,Journal,2-s2.0-0034676457
Mewes H.W.,,MIPS: A database for genomes and protein sequences,2000,Nucleic Acids Research,232,10.1093/nar/28.1.37,Germany;Germany,Article,Freising;Neuherberg,1,Journal,2-s2.0-0033983822
Ross-Macdonald P.,,Large-scale analysis of the yeast genome by transposon tagging and gene disruption,1999,Nature,446,10.1038/46558,United States,Article,New Haven,0,Journal,2-s2.0-0033604566
Liu L.X.,,High-throughput isolation of caenorhabditis elegans deletion mutants,1999,Genome Research,143,10.1101/gr.9.9.859,United States,Article,Woburn,1,Journal,2-s2.0-0032857154
Winzeler E.A.,,Functional characterization of the S. cerevisiae genome by gene deletion and parallel analysis,1999,Science,2882,10.1126/science.285.5429.901,United States,Article,Stanford,0,Journal,2-s2.0-0033529707
Eisen M.,,Cluster analysis and display of genome-wide expression patterns,1998,Proceedings of the National Academy of Sciences of the United States of America,12573,10.1073/pnas.95.25.14863,United States,Article,Stanford,0,Journal,2-s2.0-0032441150
Roth F.P.,,Finding DNA regulatory motifs within unaligned noncoding sequences clustered by whole-genome mRNA quantitation,1998,Nature Biotechnology,741,10.1038/nbt1098-939,United States;United States;United States,Article,Cambridge;Boston;Cambridge,0,Journal,2-s2.0-0031787969
Zambrowicz B.P.,,"Disruption and sequence identification of 2,000 genes in mouse embryonic stem cells",1998,Nature,384,10.1038/33423,United States,Article,The Woodlands,0,Journal,2-s2.0-0032499252
Posas F.,,Yeast HOG1 MAP kinase cascade is regulated by a multistep phosphorelay mechanism in the SLN1-YPD1-SSK1 'two-component' osmosensor,1996,Cell,708,10.1016/S0092-8674(00)80162-2,United States,Article,Boston,1,Journal,2-s2.0-0030595378
Poon P.,,Saccharomyces cerevisiae Gcs1 is an ADP-ribosylation factor GTPase-activating protein,1996,Proceedings of the National Academy of Sciences of the United States of America,109,10.1073/pnas.93.19.10074,Canada,Article,Halifax,1,Journal,2-s2.0-0029790350
Wach A.,,New heterologous modules for classical or PCR‐based gene disruptions in Saccharomyces cerevisiae,1994,Yeast,2129,10.1002/yea.320101310,Switzerland,Article,Basel,0,Journal,2-s2.0-0028676232
Hoffman C.,,A ten-minute DNA preparation from yeast efficiently releases autonomous plasmids for transformaion of Escherichia coli,1987,Gene,1930,10.1016/0378-1119(87)90131-4,United States,Article,Boston,0,Journal,2-s2.0-0023481280
