Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Mishima Y.,,Translational inhibition by deadenylation-independent mechanisms is central to microRNA-mediated silencing in zebrafish,2012,Proceedings of the National Academy of Sciences of the United States of America,56,10.1073/pnas.1113350109,Japan,Article,Kobe,1,Journal,2-s2.0-84856375470
Fukaya T.,,PABP is not essential for microRNA-mediated translational repression and deadenylation in vitro,2011,EMBO Journal,52,10.1038/emboj.2011.426,Japan,Article,Tokyo,0,Journal,2-s2.0-83555161676
Fabian M.R.,,MiRNA-mediated deadenylation is orchestrated by GW182 through two conserved motifs that interact with CCR4-NOT,2011,Nature Structural and Molecular Biology,209,10.1038/nsmb.2149,Canada;Canada,Article,Montreal;Montreal,0,Journal,2-s2.0-80555150587
Chekulaeva M.,,MiRNA repression involves GW182-mediated recruitment of CCR4-NOT through conserved W-containing motifs,2011,Nature Structural and Molecular Biology,225,10.1038/nsmb.2166,Switzerland,Article,Basel,0,Journal,2-s2.0-80555131046
Braun J.,,GW182 proteins directly recruit cytoplasmic deadenylase complexes to miRNA targets,2011,Molecular Cell,226,10.1016/j.molcel.2011.09.007,Germany,Article,Tubingen,1,Journal,2-s2.0-80053580757
Djuranovic S.,,A parsimonious model for gene regulation by miRNAs,2011,Science,370,10.1126/science.1191138,United States,Review,Baltimore,0,Journal,2-s2.0-79551627496
Huntzinger E.,,Gene silencing by microRNAs: Contributions of translational repression and mRNA decay,2011,Nature Reviews Genetics,1413,10.1038/nrg2936,Germany,Review,Tubingen,0,Journal,2-s2.0-78751477191
Fabian M.R.,,An efficient system for let-7 microRNA and GW182 protein-mediated deadenylation in vitro.,2011,"Methods in molecular biology (Clifton, N.J.)",2,10.1007/978-1-61779-046-1_14,Canada,Article,Montreal,0,Journal,2-s2.0-80051564020
Wu E.,,Pervasive and cooperative deadenylation of 3′utrs by embryonic microRNA families,2010,Molecular Cell,66,10.1016/j.molcel.2010.11.003,Canada;Canada,Article,Montreal;Montreal,1,Journal,2-s2.0-78649254115
Cooke A.,,Translational repression by deadenylases,2010,Journal of Biological Chemistry,82,10.1074/jbc.M110.150763,United States,Article,Madison,1,Journal,2-s2.0-77956503398
Guo H.,,Mammalian microRNAs predominantly act to decrease target mRNA levels,2010,Nature,2680,10.1038/nature09267,United States;United States,Article,Cambridge;Cambridge,0,Journal,2-s2.0-77955644289
Fabian M.,,Regulation of mRNA translation and stability by microRNAs,2010,Annual Review of Biochemistry,1759,10.1146/annurev-biochem-060308-103103,Canada,Review,Montreal,0,Book Series,2-s2.0-77953629046
Hendrickson D.,,Concordant regulation of translation and mRNA abundance for hundreds of targets of a human microRNA,2009,PLoS Biology,291,10.1371/journal.pbio.1000238,United States,Article,Stanford,1,Journal,2-s2.0-72949115517
Zdanowicz A.,,Drosophila miR2 Primarily Targets the m<sup>7</sup>GpppN Cap Structure for Translational Repression,2009,Molecular Cell,60,10.1016/j.molcel.2009.09.009,Germany,Article,Heidelberg,1,Journal,2-s2.0-70349189317
Fabian M.,,Mammalian miRNA RISC Recruits CAF1 and PABP to Affect PABP-Dependent Deadenylation,2009,Molecular Cell,263,10.1016/j.molcel.2009.08.004,Canada;Canada,Article,Montreal;Montreal,1,Journal,2-s2.0-70349177026
Beilharz T.,,MicroRNA-mediated messenger RNA deadenylation contributes to translational repression in mammalian cells,2009,PLoS ONE,69,10.1371/journal.pone.0006783,Australia;Australia,Article,Sydney;Sydney,1,Journal,2-s2.0-69449099275
Ingolia N.,,Genome-wide analysis in vivo of translation with nucleotide resolution using ribosome profiling,2009,Science,1828,10.1126/science.1168978,United States,Article,San Francisco,0,Journal,2-s2.0-62549134121
Eulalio A.,,Deadenylation is a widespread effect of miRNA regulation,2009,RNA,298,10.1261/rna.1399509,Germany,Article,Tubingen,1,Journal,2-s2.0-58149103297
Baek D.,,The impact of microRNAs on protein output,2008,Nature,2648,10.1038/nature07242,United States;United States,Article,Cambridge;Cambridge,0,Journal,2-s2.0-49949116902
Mathonnet G.,,MicroRNA inhibition of translation initiation in vitro by targeting the cap-binding complex eIF4F,2007,Science,376,10.1126/science.1146067,Canada,Article,Montreal,0,Journal,2-s2.0-34547944309
Thermann R.,,Drosophila miR2 induces pseudo-polysomes and inhibits translation initiation,2007,Nature,233,10.1038/nature05878,Germany,Article,Heidelberg,0,Journal,2-s2.0-34249282243
Giraldez A.,,Zebrafish MiR-430 promotes deadenylation and clearance of maternal mRNAs,2006,Science,1112,10.1126/science.1122689,United States;United States,Article,New York;Cambridge,0,Journal,2-s2.0-33645124258
Wu L.,,MicroRNAs direct rapid deadenylation of mRNA,2006,Proceedings of the National Academy of Sciences of the United States of America,848,10.1073/pnas.0510928103,United States,Article,New York,1,Journal,2-s2.0-33645119514
Pillai R.,,Molecular biology: Inhibition of translational initiation by let-7 microRNA in human cells,2005,Science,1056,10.1126/science.1115079,Switzerland,Article,Basel,0,Journal,2-s2.0-24644480213
Bagga S.,,Regulation by let-7 and lin-4 miRNAs results in target mRNA degradation,2005,Cell,1014,10.1016/j.cell.2005.07.031,United States,Article,San Diego,1,Journal,2-s2.0-23944514849
Giraldez A.,,MicroRNAs regulate brain morphogenesis in zebrafish,2005,Science,1010,10.1126/science.1109020,United States,Article,New York,0,Journal,2-s2.0-18244385475
