Authors,Author(s) ID,Title,Year,Source tittle,Cited by,DOI,Country,Document Type,City,Access Type,aggregationType,EID
Shin J.,,Construction of functional gene networks using phylogenetic profiles,2017,Methods in Molecular Biology,6,10.1007/978-1-4939-6613-4_5,South Korea,Chapter,Seoul,0,Book Series,2-s2.0-85000643922
Mukherjee S.,,Genomes OnLine Database (GOLD) v.6: Data updates and feature enhancements,2017,Nucleic Acids Research,91,10.1093/nar/gkw992,United States,Article,Walnut Creek,1,Journal,2-s2.0-85016106147
Kanehisa M.,,"KEGG: New perspectives on genomes, pathways, diseases and drugs",2017,Nucleic Acids Research,2190,10.1093/nar/gkw1092,Japan,Article,Kyoto,1,Journal,2-s2.0-85016149190
Shim J.,,Weighted mutual information analysis substantially improves domain-based functional network models,2016,Bioinformatics,11,10.1093/bioinformatics/btw320,South Korea,Article,Seoul,1,Journal,2-s2.0-84992225417
Trost B.,,DAPPLE 2: A tool for the homology-based prediction of post-translational modification sites,2016,Journal of Proteome Research,15,10.1021/acs.jproteome.6b00304,Canada;Canada,Article,Saskatoon;Saskatoon,0,Journal,2-s2.0-84981333248
Cho A.,,MUFFINN: Cancer gene discovery via network analysis of somatic mutation data,2016,Genome Biology,61,10.1186/s13059-016-0989-x,South Korea,Article,Seoul,1,Journal,2-s2.0-84978062214
Caspi R.,,The MetaCyc database of metabolic pathways and enzymes and the BioCyc collection of pathway/genome databases,2016,Nucleic Acids Research,457,10.1093/nar/gkv1164,United States,Article,Menlo Park,1,Journal,2-s2.0-84976877782
Shin J.,,Co-inheritance analysis within the domains of life substantially improves network inference by phylogenetic profiling,2015,PLoS ONE,12,10.1371/journal.pone.0139006,South Korea,Article,Seoul,1,Journal,2-s2.0-84947763851
Shim J.,,Pathway-dependent effectiveness of network algorithms for gene prioritization,2015,PLoS ONE,12,10.1371/journal.pone.0130589,South Korea,Article,Seoul,1,Journal,2-s2.0-84939203504
Mitchell A.,,The InterPro protein families database: The classification resource after 15 years,2015,Nucleic Acids Research,816,10.1093/nar/gku1243,United Kingdom,Article,Cambridge,1,Journal,2-s2.0-84946074739
Blake J.A.,,Gene ontology consortium: Going forward,2015,Nucleic Acids Research,1472,10.1093/nar/gku1179,United States,Article,Bar Harbor,1,Journal,2-s2.0-84946735654
Shim J.,,Network-assisted approaches for human disease research,2015,Animal Cells and Systems,9,10.1080/19768354.2015.1074108,South Korea,Article,Seoul,1,Journal,2-s2.0-84940640088
Leung A.,,HyperModules: Identifying clinically and phenotypically significant network modules with disease mutations for biomarker discovery,2014,Bioinformatics,21,10.1093/bioinformatics/btu172,Canada,Article,Toronto,1,Journal,2-s2.0-84905011411
Cho A.,,WormNet v3: A network-assisted hypothesis-generating server for Caenorhabditis elegans,2014,Nucleic Acids Research,25,10.1093/nar/gku367,South Korea,Article,Seoul,1,Journal,2-s2.0-84904798127
Shin J.,,Complementarity between distance- and probability-based methods of gene neighbourhood identification for pathway reconstruction,2014,Molecular BioSystems,21,10.1039/c3mb70366e,South Korea,Article,Seoul,0,Journal,2-s2.0-84888987051
Kim E.,,JiffyNet: a web-based instant protein network modeler for newly sequenced species.,2013,Nucleic acids research,23,10.1093/nar/gkt419,South Korea,Article,Seoul,1,,2-s2.0-84883577365
Song L.,,"Comparison of co-expression measures: Mutual information, correlation, and model based indices",2012,BMC Bioinformatics,173,10.1186/1471-2105-13-328,United States;United States,Article,Los Angeles;Los Angeles,1,Journal,2-s2.0-84870527707
Kodama Y.,,The sequence read archive: Explosive growth of sequencing data,2012,Nucleic Acids Research,393,10.1093/nar/gkr854,Japan,Article,Mishima,1,Journal,2-s2.0-84862198590
Lee I.,,Prioritizing candidate disease genes by network-based boosting of genome-wide association data,2011,Genome Research,424,10.1101/gr.118992.110,South Korea,Article,Seoul,1,Journal,2-s2.0-79959898376
Yellaboina S.,,DOMINE: A comprehensive collection of known and predicted domain-domain interactions,2011,Nucleic Acids Research,130,10.1093/nar/gkq1229,United States,Article,Research Triangle Park,1,Journal,2-s2.0-78651277455
Jia P.,,dmGWAS: Dense module searching for genome-wide association studies in protein-protein interaction networks,2011,Bioinformatics,186,10.1093/bioinformatics/btq615,United States,Article,Nashville,1,Journal,2-s2.0-78650562728
Wang P.,,It's the machine that matters: Predicting gene function and phenotype from protein networks,2010,Journal of Proteomics,95,10.1016/j.jprot.2010.07.005,United States,Review,Austin,0,Journal,2-s2.0-77957242540
Miller J.,,Divergence of human and mouse brain transcriptome highlights Alzheimer disease pathways,2010,Proceedings of the National Academy of Sciences of the United States of America,287,10.1073/pnas.0914257107,United States;United States,Article,Los Angeles;Los Angeles,1,Journal,2-s2.0-77955454185
Lefebvre C.,,A human B-cell interactome identifies MYB and FOXM1 as master regulators of proliferation in germinal centers,2010,Molecular Systems Biology,208,10.1038/msb.2010.31,United States,Article,New York,1,Journal,2-s2.0-77953255983
Kensche P.,,Practical and theoretical advances in predicting the function of a protein by its phylogenetic distribution,2008,Journal of the Royal Society Interface,61,10.1098/rsif.2007.1047,Netherlands,Review,Nijmegen,1,Journal,2-s2.0-37249090179
Gargalovic P.S.,,Identification of inflammatory gene modules based on variations of human endothelial cell responses to oxidized lipids,2006,Proceedings of the National Academy of Sciences of the United States of America,245,10.1073/pnas.0605457103,United States,Article,Los Angeles,1,Journal,2-s2.0-33748048164
Palla G.,,Uncovering the overlapping community structure of complex networks in nature and society,2005,Nature,3516,10.1038/nature03607,Hungary;Hungary,Article,Budapest;Budapest,0,Journal,2-s2.0-20444504323
Parkinson H.,,ArrayExpress - A public repository for microarray gene expression data at the EBI,2005,Nucleic Acids Research,271,10.1093/nar/gki056,United Kingdom,Article,London,1,Journal,2-s2.0-13444249955
Clauset A.,,Finding community structure in very large networks,2004,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",3161,10.1103/PhysRevE.70.066111,United States,Article,Albuquerque,0,Journal,2-s2.0-41349117788
Lee I.,,A probabilistic functional network of yeast genes,2004,Science,522,10.1126/science.1099511,United States,Article,Austin,0,Journal,2-s2.0-9444239213
McGinnis S.,,BLAST: At the core of a powerful and diverse set of sequence analysis tools,2004,Nucleic Acids Research,938,10.1093/nar/gkh435,United States,Article,Bethesda,1,Journal,2-s2.0-3242876311
Newman M.E.J.,,Fast algorithm for detecting community structure in networks,2004,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics",2961,10.1103/PhysRevE.69.066133,United States,Article,Ann Arbor,0,Journal,2-s2.0-42749100809
Deng M.,,Inferring domain-domain interactions from protein-protein interactions,2002,Genome Research,341,10.1101/gr.153002,United States,Article,Los Angeles,1,Journal,2-s2.0-0036799752
Ideker T.,,Discovering regulatory and signalling circuits in molecular interaction networks,2002,Bioinformatics,845,10.1093/bioinformatics/18.suppl_1.S233,United States,Conference Paper,Cambridge,1,Journal,2-s2.0-0000801240
Edgar R.,,Gene Expression Omnibus: NCBI gene expression and hybridization array data repository,2002,Nucleic Acids Research,6511,10.1093/nar/30.1.207,United States,Article,Bethesda,1,Journal,2-s2.0-0036081355
Sprinzak E.,,Correlated sequence-signatures as markers of protein-protein interaction,2001,Journal of Molecular Biology,310,10.1006/jmbi.2001.4920,Israel,Article,Jerusalem,0,Journal,2-s2.0-0035943340
Jeong H.,,Lethality and centrality in protein networks,2001,Nature,3482,10.1038/35075138,United States,Article,Notre Dame,0,Journal,2-s2.0-0035799707
Vidal M.,,Protein interaction mapping in C. elegans Using proteins involved in vulval development,2000,Science,601,10.1126/science.287.5450.116,United States,Article,Boston,0,Journal,2-s2.0-0034614678
Pellegrini M.,,Assigning protein functions by comparative genome analysis: Protein phylogenetic profiles,1999,Proceedings of the National Academy of Sciences of the United States of America,1367,10.1073/pnas.96.8.4285,United States,Article,Los Angeles,1,Journal,2-s2.0-0033551248
Dandekar T.,,Conservation of gene order: A fingerprint of proteins that physically interact,1998,Trends in Biochemical Sciences,765,10.1016/S0968-0004(98)01274-2,Germany;Germany,Article,Berlin;Heidelberg,0,Journal,2-s2.0-0032169271
